HEADER_BEGIN-------------------------------------------------------------
WARNING ! Do not remove or change anything in this header.
Exported by CanView 1.20
13,45,12,4
HEADER_END---------------------------------------------------------------

> +214.8ms                                                  000100F0                                    
> +1.9ms                                                    00020010                                    
> +0.4ms                                                    00020020                                    
> +284.6ms                                                  00030020    00  82  00  00  08  01  01  00  
> +3.2ms                                                    00030010    00  01  00  00  01  05  01  00  
> +61.9ms                                                   001220F0    00  01  00  05                  
> +1.5ms                                                    0010F020    81  01  00  05  00  00  00  00  
> +3.6ms                                                    0011F020    81  01  00  11  00  00  00  00  
> +5.6ms                                                    0012F010    00  01  00  11  00  00  00  00  
> +7.9ms                                                    001220F0    00  01  02  00                  
> +1.3ms                                                    0010F020    81  01  02  00  00  00  00  00  
> +0.3ms                                                    001210F0    00  01  00  05                  
> +0.1ms                                                    0010F010    00  01  00  05  00  00  00  00  
> +4.9ms                                                    001210F0    00  01  02  00                  
> +1.3ms                                                    0010F010    00  01  02  00  00  00  00  00  
> +82.5ms                                                   001220F0    00  01  02  00                  
> +1.5ms                                                    0010F020    81  01  02  00  00  00  00  00  
> +0.3ms                                                    001220F0    00  1E  22  13                  
> +0.1ms                                                    0010F020    81  1E  22  13  00  00  00  01  
> +0.2ms                                                    001220F0    00  01  00  51                  
> +0.1ms                                                    0010F020    81  01  00  51  01  03  00  00  
> +6.6ms                                                    001210F0    00  1E  21  0E                  
> +0.7ms                                                    0010F010    00  1E  21  0E  00  00  00  00  
> +2.1ms                                                    001210F0    00  1E  30  00                  
> +0.5ms                                                    0010F010    00  1E  30  00  00  00  0E  BC  
> +0.3ms                                                    001110F0    00  1E  00  17  00  00  00  5A  
> +26.7ms                                                   001110F0    00  1E  00  18  00  00  00  00  
> +1.4ms                                                    001110F0    00  1E  00  19  00  00  00  1E  
> +0.3ms                                                    001110F0    00  1E  00  1D  00  00  00  3C  
> +0.2ms                                                    001110F0    00  1E  00  04  00  00  00  A0  
> +0.2ms                                                    001110F0    00  1E  22  17  00  00  00  00  
> +0.2ms                                                    001110F0    00  1E  22  0B  00  00  00  78  
> +15.4ms                                                   001110F0    00  1E  22  0C  00  00  00  64  
> +6.3ms                                                    001110F0    00  1E  22  0D  00  00  00  64  
> +6.2ms                                                    001110F0    00  1E  00  37  00  00  00  32  
> +0.3ms                                                    001110F0    00  1E  22  0F  00  00  00  A0  
> +0.2ms                                                    001110F0    00  1E  22  05  00  00  00  01  
> +0.2ms                                                    001110F0    00  1E  22  06  00  00  00  00  
> +0.1ms                                                    001110F0    00  1E  00  3D  FF  FF  FF  FF  
> +1.7ms                                                    001110F0    00  1E  21  07  00  00  00  00  
> +0.2ms                                                    001110F0    00  1E  22  0E  00  00  00  2D  
> +0.2ms                                                    001110F0    00  1E  22  10  00  00  00  39  
> +0.2ms                                                    001110F0    00  1E  00  12  00  00  00  02  
> +0.5ms                                                    001110F0    00  1E  00  01  00  00  10  68  
> +0.2ms                                                    001110F0    00  1E  00  02  00  00  0B  9A  
> +0.2ms                                                    001110F0    00  1E  00  03  00  00  00  10  
> +0.2ms                                                    001110F0    00  1E  22  18  00  00  00  00  
> +0.2ms                                                    001110F0    00  1E  22  00  36  CF  7F  A7  
> +0.2ms                                                    0010F010    00  1E  00  17  00  00  00  50  
> +0.5ms                                                    001110F0    00  1E  00  3E  00  00  00  00  
> +1.2ms                                                    0010F010    00  1E  00  18  00  00  00  14  
> +0.3ms                                                    001210F0    00  01  00  51                  
> +0.2ms                                                    0010F010    00  1E  00  19  00  00  00  46  
> +0.2ms                                                    0010F010    00  1E  00  1D  00  00  00  46  
> +0.2ms                                                    0010F010    00  1E  00  37  00  00  00  32  
> +0.4ms                                                    0010F010    00  1E  00  04  00  00  00  A0  
> +0.3ms                                                    0010F010    00  1E  22  0B  00  00  00  6E  
> +0.2ms                                                    0010F010    00  1E  22  0C  00  00  00  96  
> +0.2ms                                                    0010F010    00  1E  22  0D  00  00  00  64  
> +0.6ms                                                    0010F010    00  01  00  51  01  03  03  41  
> +0.6ms                                                    001120F0    00  1E  00  6A  00  00  00  00  
> +0.3ms                                                    001120F0    00  1E  00  6A  00  01  00  00  
> +0.5ms                                                    001120F0    00  1E  00  6A  00  02  00  00  
> +0.2ms                                                    001120F0    00  1E  00  6A  00  03  00  00  
> +0.2ms                                                    001120F0    00  1E  00  6A  00  04  00  00  
> +0.1ms                                                    001120F0    00  1E  00  6A  00  05  00  00  
> +0.2ms                                                    001120F0    00  1E  00  6A  00  06  00  00  
> +0.2ms                                                    001120F0    00  1E  00  6A  00  07  00  00  
> +1.5ms                                                    001120F0    00  1E  00  6A  00  08  00  00  
> +0.3ms                                                    001120F0    00  1E  00  6A  00  09  00  00  
> +0.2ms                                                    001120F0    00  1E  00  6A  00  0A  00  00  
> +0.2ms                                                    001120F0    00  1E  00  6A  00  0B  00  00  
> +0.2ms                                                    001120F0    00  1E  00  6A  00  0C  00  00  
> +0.4ms                                                    001120F0    00  1E  00  6A  00  0D  00  00  
> +0.2ms                                                    001120F0    00  1E  00  6A  00  0E  00  00  
> +0.2ms                                                    001120F0    00  1E  00  6A  00  0F  00  00  
> +0.2ms                                                    001120F0    00  1E  00  6A  00  10  00  00  
> +0.2ms                                                    001120F0    00  1E  00  6A  00  11  00  00  
> +0.6ms                                                    001120F0    00  1E  00  6A  00  12  00  00  
> +0.2ms                                                    001120F0    00  1E  00  6A  00  13  00  00  
> +0.2ms                                                    001120F0    00  1E  00  6A  00  14  00  00  
> +0.2ms                                                    001120F0    00  1E  00  6A  00  15  00  00  
> +0.2ms                                                    001120F0    00  1E  00  6A  00  16  00  00  
> +0.5ms                                                    001120F0    00  1E  00  6A  00  17  00  00  
> +0.2ms                                                    001120F0    00  1E  00  6A  00  18  00  00  
> +0.2ms                                                    001120F0    00  1E  00  6A  00  19  00  00  
> +0.2ms                                                    001120F0    00  1E  00  6A  00  1A  00  00  
> +0.5ms                                                    001120F0    00  1E  00  6A  00  1B  00  00  
> +1.1ms                                                    001120F0    00  1E  00  6A  00  1C  00  00  
> +0.3ms                                                    001120F0    00  1E  00  6A  00  1D  00  00  
> +0.2ms                                                    001120F0    00  1E  00  6B  00  00  05  78  
> +0.2ms                                                    001120F0    00  1E  00  6B  00  01  0A  F0  
> +0.2ms                                                    001120F0    00  1E  00  6B  00  02  00  00  
> +0.5ms                                                    001120F0    00  1E  00  6B  00  03  00  00  
> +0.2ms                                                    001120F0    00  1E  00  6B  00  04  00  00  
> +0.2ms                                                    001120F0    00  1E  00  6B  00  05  00  00  
> +0.2ms                                                    001120F0    00  1E  00  6B  00  06  00  00  
> +0.6ms                                                    001120F0    00  1E  00  6B  00  07  00  00  
> +0.2ms                                                    001120F0    00  1E  00  6B  00  08  00  00  
> +0.2ms                                                    001120F0    00  1E  00  6B  00  09  00  00  
> +0.2ms                                                    001120F0    00  1E  00  6B  00  0A  00  00  
> +0.2ms                                                    001120F0    00  1E  00  6B  00  0B  00  00  
> +0.2ms                                                    001120F0    00  1E  00  6B  00  0C  00  00  
> +0.4ms                                                    001120F0    00  1E  00  6B  00  0D  00  00  
> +0.2ms                                                    001120F0    00  1E  00  6B  00  0E  00  00  
> +0.2ms                                                    001120F0    00  1E  00  6B  00  0F  00  00  
> +0.2ms                                                    001120F0    00  1E  00  6B  00  10  00  00  
> +1.4ms                                                    001120F0    00  1E  00  6B  00  11  00  00  
> +0.3ms                                                    001120F0    00  1E  00  6B  00  12  00  00  
> +0.2ms                                                    001120F0    00  1E  00  6B  00  13  00  00  
> +0.2ms                                                    001120F0    00  1E  00  6B  00  14  00  00  
> +0.2ms                                                    001120F0    00  1E  00  6B  00  15  00  00  
> +0.4ms                                                    001120F0    00  1E  00  6B  00  16  00  00  
> +0.2ms                                                    001120F0    00  1E  00  6B  00  17  00  00  
> +0.2ms                                                    001120F0    00  1E  00  6B  00  18  00  00  
> +0.2ms                                                    001120F0    00  1E  00  6B  00  19  00  00  
> +0.6ms                                                    001120F0    00  1E  00  6B  00  1A  00  00  
> +0.2ms                                                    001120F0    00  1E  00  6B  00  1B  00  00  
> +0.2ms                                                    001120F0    00  1E  00  6B  00  1C  00  00  
> +0.2ms                                                    001120F0    00  1E  00  6B  00  1D  00  00  
> +0.2ms                                                    001120F0    00  1E  21  20  00  00  00  02  
> +0.5ms                                                    001120F0    00  1E  21  11  00  00  00  00  
> +0.2ms                                                    001120F0    00  1E  21  21  00  00  00  00  
> +0.2ms                                                    001120F0    00  1E  21  12  00  00  00  00  
> +0.2ms                                                    001120F0    00  1E  00  01  00  00  10  68  
> +0.2ms                                                    001120F0    00  1E  00  02  00  00  0B  9A  
> +0.2ms                                                    001120F0    00  1E  00  03  00  00  00  10  
> +0.5ms                                                    001120F0    00  1E  22  18  00  00  00  00  
> +1.3ms                                                    001120F0    00  1E  22  16  00  00  00  00  
> +0.3ms                                                    001120F0    00  1E  22  11  00  00  00  00  
> +0.2ms                                                    001120F0    00  1E  22  00  36  CF  7F  A7  
> +0.2ms                                                    001110F0    00  1E  00  12  00  00  00  02  
> +0.4ms                                                    001110F0    00  1E  22  00  36  CF  7F  A7  
> +0.2ms                                                    0010F010    00  1E  00  17  00  00  00  50  
> +0.2ms                                                    0010F010    00  1E  00  18  00  00  00  14  
> +0.2ms                                                    0010F010    00  1E  00  19  00  00  00  46  
> +0.2ms                                                    00100020    81  1E  00  0A  00  00  04  B0  
> +0.2ms                                                    0010F010    00  1E  00  1D  00  00  00  46  
> +0.2ms                                                    00100020    81  1E  22  16  00  00  00  0A  
> +0.2ms                                                    0010F010    00  1E  00  37  00  00  00  32  
> +0.2ms                                                    00100020    81  1E  00  05  00  00  03  9F  
> +0.7ms                                                    0010F010    00  1E  00  04  00  00  00  A0  
> +0.2ms                                                    00100020    81  1E  22  12  00  00  00  45  
> +0.2ms                                                    0010F010    00  1E  22  0B  00  00  00  6E  
> +0.2ms                                                    00100020    81  1E  22  11  00  00  03  41  
> +0.2ms                                                    0010F010    00  1E  22  0C  00  00  00  96  
> +0.2ms                                                    00100020    81  01  02  07  00  00  0F  2A  
> +0.2ms                                                    0010F010    00  1E  22  0D  00  00  00  64  
> +10799.3ms                                                001110F0    00  1E  00  3E  00  00  00  00  
> +1.2ms                                                    001120F0    00  1E  00  6A  00  00  03  DE  
> +0.3ms                                                    001120F0    00  1E  00  6B  00  00  07  BC  
> +0.2ms                                                    001120F0    00  1E  00  6B  00  01  00  00  
> +0.2ms                                                    001120F0    00  1E  00  01  00  00  0B  9A  
> +0.2ms                                                    001120F0    00  1E  00  02  00  00  08  34  
> +0.2ms                                                    001120F0    00  1E  00  03  00  00  00  0A  
> +0.2ms                                                    001120F0    00  1E  22  00  4B  07  13  91  
> +0.2ms                                                    001110F0    00  1E  22  0F  00  00  00  50  
> +0.1ms                                                    001110F0    00  1E  00  01  00  00  0B  9A  
> +0.3ms                                                    001110F0    00  1E  00  02  00  00  08  34  
> +0.2ms                                                    001110F0    00  1E  00  03  00  00  00  0A  
> +0.2ms                                                    00100020    81  1E  00  0A  00  00  04  B0  
> +0.2ms                                                    001110F0    00  1E  22  00  4B  07  13  91  
> +0.5ms                                                    00100020    81  1E  22  16  00  00  00  0A  
> +0.2ms                                                    0010F010    00  1E  00  17  00  00  00  46  
> +0.3ms                                                    00100020    81  1E  00  05  00  00  03  55  
> +0.2ms                                                    0010F010    00  1E  00  18  00  00  00  0A  
> +0.2ms                                                    00100020    81  1E  22  12  00  00  00  4B  
> +0.2ms                                                    0010F010    00  1E  00  19  00  00  00  14  
> +0.2ms                                                    00100020    81  1E  22  11  00  00  03  8E  
> +0.2ms                                                    0010F010    00  1E  00  1D  00  00  00  28  
> +0.3ms                                                    00100020    81  01  02  07  00  00  10  7B  
> +0.3ms                                                    0010F010    00  1E  00  37  00  00  00  32  
> +0.2ms                                                    0010F010    00  1E  00  04  00  00  00  A0  
> +0.2ms                                                    0010F010    00  1E  22  0B  00  00  00  6E  
> +0.2ms                                                    0010F010    00  1E  22  0C  00  00  00  96  
> +0.2ms                                                    0010F010    00  1E  22  0D  00  00  00  64  
> +7170.5ms                                                 001110F0    00  01  00  01  00  00  00  01  
> +1.5ms                                                    00112010    00  1E  22  22  00  00  00  00  
> +0.4ms                                                    001210F0    00  1E  30  00                  
> +0.2ms                                                    0010F010    00  1E  30  00  00  00  0E  BC  
> +97.5ms                                                   00100010    00  01  00  05  00  00  00  02  
> +915.2ms                                                  00100010    00  01  00  05  00  00  00  00  
> +102.4ms                                                  00122010    00  1E  00  0A  00  00  00  00  
> +1.5ms                                                    00122010    00  1E  00  05  00  00  00  00  
> +0.4ms                                                    00100010    00  01  00  05  00  00  00  02  
> +3.8ms                                                    00101020    81  1E  00  0A  00  00  04  B0  
> +1.0ms                                                    00101020    81  1E  00  05  00  00  03  55  
> +0.3ms                                                    00101020    81  1E  22  12  00  00  00  4B  
> +0.2ms                                                    00101020    81  1E  22  11  00  00  03  8E  
> +0.6ms                                                    00101020    81  01  02  07  00  00  10  7B  
> +6470.5ms                                                 00112010    00  01  00  01  00  00  00  00  
> +2.2ms                                                    00100020    81  01  00  05  00  00  00  02  
> +5345.4ms                                                 00100020    81  01  00  05  00  00  00  01  
> +3.8ms                                                    00100010    00  01  00  05  00  00  00  01  
> +619.1ms                                                  00112010    00  1E  22  07  00  00  00  01  
> +76.5ms                                                   00111020    81  1E  02  00  00  00  00  01  
> +778.4ms                                                  00112010    00  1E  22  07  00  00  00  02  
> +77.6ms                                                   00111020    81  1E  02  00  00  00  00  02  
> +75.6ms                                                   00111020    81  1E  22  08  00  00  00  01  
> +1.2ms                                                    0010F010    00  1E  22  08  00  00  00  01  
> +701.5ms                                                  00112010    00  1E  22  07  00  00  00  03  
> +74.9ms                                                   00111020    81  1E  02  00  00  00  00  03  
> +77.8ms                                                   00111020    81  1E  22  08  00  00  00  02  
> +1.5ms                                                    0010F010    00  1E  22  08  00  00  00  02  
> +700.7ms                                                  00112010    00  1E  22  07  00  00  00  04  
> +74.1ms                                                   00111020    81  1E  02  00  00  00  00  04  
> +69.9ms                                                   00111020    81  1E  22  08  00  00  00  03  
> +1.3ms                                                    0010F010    00  1E  22  08  00  00  00  03  
> +709.7ms                                                  00112010    00  1E  22  07  00  00  00  05  
> +72.7ms                                                   00111020    81  1E  02  00  00  00  00  05  
> +72.9ms                                                   00111020    81  1E  22  08  00  00  00  04  
> +1.4ms                                                    0010F010    00  1E  22  08  00  00  00  04  
> +709.0ms                                                  00112010    00  1E  22  07  00  00  00  06  
> +72.7ms                                                   00111020    81  1E  02  00  00  00  00  06  
> +72.6ms                                                   00111020    81  1E  22  08  00  00  00  05  
> +1.2ms                                                    0010F010    00  1E  22  08  00  00  00  05  
> +709.5ms                                                  00112010    00  1E  22  07  00  00  00  07  
> +76.8ms                                                   00111020    81  1E  02  00  00  00  00  07  
> +60.8ms                                                   00111020    81  1E  22  08  00  00  00  06  
> +1.3ms                                                    0010F010    00  1E  22  08  00  00  00  06  
> +717.1ms                                                  00112010    00  1E  22  07  00  00  00  08  
> +76.7ms                                                   00111020    81  1E  02  00  00  00  00  08  
> +66.8ms                                                   00111020    81  1E  22  08  00  00  00  07  
> +1.4ms                                                    0010F010    00  1E  22  08  00  00  00  07  
> +710.0ms                                                  00112010    00  1E  22  07  00  00  00  09  
> +73.4ms                                                   00111020    81  1E  02  00  00  00  00  09  
> +79.5ms                                                   00111020    81  1E  22  08  00  00  00  08  
> +1.2ms                                                    0010F010    00  1E  22  08  00  00  00  08  
> +701.9ms                                                  00112010    00  1E  22  07  00  00  00  0A  
> +76.2ms                                                   00111020    81  1E  02  00  00  00  00  0A  
> +68.7ms                                                   00111020    81  1E  22  08  00  00  00  09  
> +1.5ms                                                    0010F010    00  1E  22  08  00  00  00  09  
> +709.5ms                                                  00112010    00  1E  22  07  00  00  00  0B  
> +76.2ms                                                   00111020    81  1E  02  00  00  00  00  0B  
> +70.1ms                                                   00111020    81  1E  22  08  00  00  00  0A  
> +1.2ms                                                    0010F010    00  1E  22  08  00  00  00  0A  
> +708.4ms                                                  00112010    00  1E  22  07  00  00  00  0C  
> +77.9ms                                                   00111020    81  1E  02  00  00  00  00  0C  
> +72.9ms                                                   00111020    81  1E  22  08  00  00  00  0B  
> +1.3ms                                                    0010F010    00  1E  22  08  00  00  00  0B  
> +703.9ms                                                  00112010    00  1E  22  07  00  00  00  0D  
> +76.5ms                                                   00111020    81  1E  02  00  00  00  00  0D  
> +70.9ms                                                   00111020    81  1E  22  08  00  00  00  0C  
> +1.4ms                                                    0010F010    00  1E  22  08  00  00  00  0C  
> +706.2ms                                                  00112010    00  1E  22  07  00  00  00  0E  
> +72.0ms                                                   00111020    81  1E  02  00  00  00  00  0E  
> +85.6ms                                                   00111020    81  1E  22  08  00  00  00  0D  
> +1.3ms                                                    0010F010    00  1E  22  08  00  00  00  0D  
> +50.1ms                                                   00111020    81  1E  22  08  00  00  00  0E  
> +1.3ms                                                    0010F010    00  1E  22  08  00  00  00  0E  
> +645.6ms                                                  00112010    00  1E  22  07  00  00  00  0F  
> +72.0ms                                                   00111020    81  1E  02  00  00  00  00  0F  
> +73.6ms                                                   00111020    81  1E  22  08  00  00  00  0F  
> +1.3ms                                                    0010F010    00  1E  22  08  00  00  00  0F  
> +709.1ms                                                  00112010    00  1E  22  07  00  00  00  10  
> +72.5ms                                                   00111020    81  1E  02  00  00  00  00  10  
> +75.0ms                                                   00111020    81  1E  22  08  00  00  00  10  
> +1.3ms                                                    0010F010    00  1E  22  08  00  00  00  10  
> +707.1ms                                                  00112010    00  1E  22  07  00  00  00  11  
> +71.8ms                                                   00111020    81  1E  02  00  00  00  00  11  
> +72.5ms                                                   00111020    81  1E  22  08  00  00  00  11  
> +1.6ms                                                    0010F010    00  1E  22  08  00  00  00  11  
> +712.1ms                                                  00112010    00  1E  22  07  00  00  00  12  
> +72.8ms                                                   00111020    81  1E  02  00  00  00  00  12  
> +70.3ms                                                   00111020    81  1E  22  08  00  00  00  12  
> +1.3ms                                                    0010F010    00  1E  22  08  00  00  00  12  
> +711.6ms                                                  00112010    00  1E  22  07  00  00  00  13  
> +75.6ms                                                   00111020    81  1E  02  00  00  00  00  13  
> +68.9ms                                                   00111020    81  1E  22  08  00  00  00  13  
> +1.3ms                                                    0010F010    00  1E  22  08  00  00  00  13  
> +710.2ms                                                  00112010    00  1E  22  07  00  00  00  14  
> +72.5ms                                                   00111020    81  1E  02  00  00  00  00  14  
> +75.0ms                                                   00111020    81  1E  22  08  00  00  00  14  
> +1.3ms                                                    0010F010    00  1E  22  08  00  00  00  14  
> +707.2ms                                                  00112010    00  1E  22  07  00  00  00  15  
> +75.4ms                                                   00111020    81  1E  02  00  00  00  00  15  
> +69.0ms                                                   00111020    81  1E  22  08  00  00  00  15  
> +1.3ms                                                    0010F010    00  1E  22  08  00  00  00  15  
> +710.2ms                                                  00112010    00  1E  22  07  00  00  00  16  
> +74.7ms                                                   00111020    81  1E  02  00  00  00  00  16  
> +75.9ms                                                   00111020    81  1E  22  08  00  00  00  16  
> +2.2ms                                                    0010F010    00  1E  22  08  00  00  00  16  
> +702.2ms                                                  00112010    00  1E  22  07  00  00  00  17  
> +79.0ms                                                   00111020    81  1E  02  00  00  00  00  17  
> +79.1ms                                                   00111020    81  1E  22  08  00  00  00  17  
> +1.3ms                                                    0010F010    00  1E  22  08  00  00  00  17  
> +695.6ms                                                  00112010    00  1E  22  07  00  00  00  18  
> +77.0ms                                                   00111020    81  1E  02  00  00  00  00  18  
> +76.7ms                                                   00111020    81  1E  22  08  00  00  00  18  
> +1.4ms                                                    0010F010    00  1E  22  08  00  00  00  18  
> +700.8ms                                                  00112010    00  1E  22  07  00  00  00  19  
> +71.3ms                                                   00111020    81  1E  02  00  00  00  00  19  
> +83.9ms                                                   00111020    81  1E  22  08  00  00  00  19  
> +1.3ms                                                    0010F010    00  1E  22  08  00  00  00  19  
> +701.6ms                                                  00112010    00  1E  22  07  00  00  00  1A  
> +71.3ms                                                   00111020    81  1E  02  00  00  00  00  1A  
> +64.6ms                                                   00111020    81  1E  22  08  00  00  00  1A  
> +1.2ms                                                    0010F010    00  1E  22  08  00  00  00  1A  
> +718.7ms                                                  00112010    00  1E  22  07  00  00  00  1B  
> +74.6ms                                                   00111020    81  1E  02  00  00  00  00  1B  
